Id,Name,Author
"NV 167","മീര ദേവൻറെ മരണം ഒരു തുടർക്കഥ",ഷംസുദ്ദീൻ
"NV 168",ബുധിനി,"സാറ ജോസഫ്സാറ ജോസഫ്"
"NV 169","മെർക്കുറി ഐലൻഡ്","അഖിൽ പി ധർമ്മജൻ"
"NV 170","ഫ്രാൻസിസ് ഇട്ടിക്കോര","ടി പി രാമകൃഷ്ണൻ"
"NV 171","മഞ്ഞു വെയിൽ മരണങ്ങൾ",ബെന്യാമിൻ
"NV 172","സുഗന്ധി എന്ന ആൺടാർ ദേവനായകി","ടി പി രാമകൃഷ്ണൻ"
"NV 173","കല്യാണി എന്നും ദാക്ഷായണി എന്നും പേരായ രണ്ടു സ്ത്രീകളുടെ കഥ","ആർ രാജശ്രീ"
"NV 174","അന്ധർ ബധിരർ മൂകർ","ടി പി രാമകൃഷ്ണൻ"
"NV 175",കുഞ്ഞിക്കൂനൻ,"പി നരേന്ദ്രനാഥ്"
"NV 176","ഒരു പോലീസ് സർജൻറെ ഓർമ്മക്കുറിപ്പ്","ഡോക്ടർ ബി ഉമാദത്തൻ"
"NV 177",യക്ഷി,മലയാറ്റൂർ
"NV 178","ഗോഡ് ഫാദർ","മരിയോ പൂസോ"
"NV 179",സമുദ്രശില,"സുഭാഷ് ചന്ദ്രൻ"
"NV 180",പാവങ്ങൾ,"വിക്ടർ ഹ്യൂഗോ"
"NV 181",ശബ്ദങ്ങൾ,ബഷീർ
"NV 182",തിരിച്ചുവരവ്,"ടി എൻ പുരം"
"NV 183","ഒരു ഗ്രാമത്തിൻ്റെ കഥ","ടി എൻ പുരം"
"NV 184","നേർ വഴിയുടെ സംഗീതം","നജീബ് കൈലാനി"
"NV 185","സ്ഥലത്തെ പ്രധാന ദിവ്യൻ",ബഷീർ
